EngineType,FuelType,gen,SFCbase
SSD,HFO,1,205
SSD,MDO,1,190
SSD,MeOH,1,
SSD,HFO,2,185
SSD,MDO,2,175
SSD,MeOH,2,
SSD,HFO,3,175
SSD,MDO,3,165
SSD,MeOH,3,350
MSD,HFO,1,215
MSD,MDO,1,200
MSD,MeOH,1,
MSD,HFO,2,195
MSD,MDO,2,185
MSD,MeOH,2,
MSD,HFO,3,185
MSD,MDO,3,175
MSD,MeOH,3,370
HSD,HFO,1,225
HSD,MDO,1,210
HSD,HFO,2,205
HSD,MDO,2,190
HSD,HFO,3,195
HSD,MDO,3,185
Otto_MS,LNG,1,
Otto_SS,LNG,1,
LNG_Diesel,LNG,1,
Otto_MS,LNG,2,173
Otto_SS,LNG,2,
LNG_Diesel,LNG,2,
Otto_MS,LNG,3,156
Otto_SS,LNG,3,148
LNG_Diesel,LNG,3,135
LBSI,LNG,1,
LBSI,LNG,2,156
LBSI,LNG,3,156
Gas_Turbine,HFO,1,305
Gas_Turbine,MDO,1,300
Gas_Turbine,LNG,1,
Gas_Turbine,HFO,2,305
Gas_Turbine,MDO,2,300
Gas_Turbine,LNG,2,
Gas_Turbine,HFO,3,305
Gas_Turbine,MDO,3,300
Gas_Turbine,LNG,3,203
Steam_Boiler,HFO,1,340
Steam_Boiler,MDO,1,320
Steam_Boiler,LNG,1,285
Steam_Boiler,HFO,2,340
Steam_Boiler,MDO,2,320
Steam_Boiler,LNG,2,285
Steam_Boiler,HFO,3,340
Steam_Boiler,MDO,3,320
Steam_Boiler,LNG,3,285
Auxiliary_Engines,HFO,1,225
Auxiliary_Engines,MDO,1,210
Auxiliary_Engines,LNG,1,
Auxiliary_Engines,HFO,2,205
Auxiliary_Engines,MDO,2,190
Auxiliary_Engines,LNG,2,173
Auxiliary_Engines,HFO,3,195
Auxiliary_Engines,MDO,3,185
Auxiliary_Engines,LNG,3,156
