EngineType,FuelType,tier,NOxEF
SSD,HFO,0,18.1
MSD,HFO,0,14
HSD,HFO,0,10
Auxiliary_Engines,HFO,0,11.2
Steam_Boiler,HFO,0,2.1
Gas_Turbine,HFO,0,6.1
SSD,LSHFO,0,18.1
MSD,LSHFO,0,14
HSD,LSHFO,0,10
Auxiliary_Engines,LSHFO,0,11.2
Steam_Boiler,LSHFO,0,2.1
Gas_Turbine,LSHFO,0,6.1
SSD,MDO,0,18.1
MSD,MDO,0,14
HSD,MDO,0,10
Auxiliary_Engines,MDO,0,11.2
Steam_Boiler,MDO,0,2.1
Gas_Turbine,MDO,0,6.1
SSD,MeOH,0,18.1
MSD,MeOH,0,14
SSD,HFO,1,17
MSD,HFO,1,13
HSD,HFO,1,9.8
Auxiliary_Engines,HFO,1,11.2
Steam_Boiler,HFO,1,2.1
Gas_Turbine,HFO,1,6.1
SSD,LSHFO,1,17
MSD,LSHFO,1,13
HSD,LSHFO,1,9.8
Auxiliary_Engines,LSHFO,1,11.2
Steam_Boiler,LSHFO,1,2.1
Gas_Turbine,LSHFO,1,6.1
SSD,MDO,1,17
MSD,MDO,1,13
HSD,MDO,1,9.8
Auxiliary_Engines,MDO,1,11.2
Steam_Boiler,MDO,1,2.1
Gas_Turbine,MDO,1,6.1
SSD,MeOH,1,17
MSD,MeOH,1,13
SSD,HFO,2,14.4
MSD,HFO,2,10.5
HSD,HFO,2,7.7
Auxiliary_Engines,HFO,2,11.2
Steam_Boiler,HFO,2,2.1
Gas_Turbine,HFO,2,6.1
SSD,LSHFO,2,14.4
MSD,LSHFO,2,10.5
HSD,LSHFO,2,7.7
Auxiliary_Engines,LSHFO,2,11.2
Steam_Boiler,LSHFO,2,2.1
Gas_Turbine,LSHFO,2,6.1
SSD,MDO,2,14.4
MSD,MDO,2,10.5
HSD,MDO,2,7.7
Auxiliary_Engines,MDO,2,11.2
Steam_Boiler,MDO,2,2.1
Gas_Turbine,MDO,2,6.1
SSD,MeOH,2,14.4
MSD,MeOH,2,10.5
SSD,HFO,3,3.4
MSD,HFO,3,2.6
HSD,HFO,3,2
Auxiliary_Engines,HFO,3,11.2
Steam_Boiler,HFO,3,2.1
Gas_Turbine,HFO,3,6.1
SSD,LSHFO,3,3.4
MSD,LSHFO,3,2.6
HSD,LSHFO,3,2
Auxiliary_Engines,LSHFO,3,11.2
Steam_Boiler,LSHFO,3,2.1
Gas_Turbine,LSHFO,3,6.1
SSD,MDO,3,3.4
MSD,MDO,3,2.6
HSD,MDO,3,2
Auxiliary_Engines,MDO,3,11.2
Steam_Boiler,MDO,3,2.1
Gas_Turbine,MDO,3,6.1
SSD,MeOH,3,3.4
MSD,MeOH,3,2.6
Otto_MS,LNG,0,1.3
Otto_SS,LNG,0,1.3
LNG_Diesel,LNG,0,18.1
LBSI,LNG,0,1.3
Auxiliary_Engines,LNG,0,1.3
Steam_Boiler,LNG,0,1.3
Gas_Turbine,LNG,0,1.3
LNG_Diesel,LNG,1,17
LNG_Diesel,LNG,2,14.4
LNG_Diesel,LNG,3,3.4
