gen,EngineType,FuelType,PM2.5EF
1,SSD,HFO,1.288
1,SSD,MDO,0.1656
1,SSD,LSHFO,0.8096
1,MSD,HFO,1.288
1,MSD,MDO,0.1656
1,MSD,LSHFO,0.7912
1,HSD,HFO,1.288
1,HSD,MDO,0.1564
1,HSD,LSHFO,0.7636
1,Gas_Turbine,HFO,1.3064
1,Gas_Turbine,MDO,0.138
1,Gas_Turbine,LSHFO,0.598
1,Steam_Boiler,HFO,1.3064
1,Steam_Boiler,MDO,0.1288
1,Steam_Boiler,LNG,0.0276
1,Steam_Boiler,LSHFO,0.5244
1,Auxiliary_Engines,HFO,1.288
1,Auxiliary_Engines,MDO,0.1564
1,Auxiliary_Engines,LSHFO,0.7636
2,SSD,HFO,1.2788
2,SSD,MDO,0.1656
2,SSD,LSHFO,0.8556
2,MSD,HFO,1.2788
2,MSD,MDO,0.1656
2,MSD,LSHFO,0.828
2,HSD,HFO,1.288
2,HSD,MDO,0.1656
2,HSD,LSHFO,0.8096
2,Otto_MS,LNG,0.0184
2,LBSI,LNG,0.0184
2,Gas_Turbine,HFO,1.3064
2,Gas_Turbine,MDO,0.138
2,Gas_Turbine,LSHFO,0.598
2,Steam_Boiler,HFO,1.3064
2,Steam_Boiler,MDO,0.1288
2,Steam_Boiler,LNG,0.0276
2,Steam_Boiler,LSHFO,0.5244
2,Auxiliary_Engines,HFO,1.288
2,Auxiliary_Engines,MDO,0.1656
2,Auxiliary_Engines,LNG,0.0184
2,Auxiliary_Engines,LSHFO,0.8096
3,SSD,HFO,1.2788
3,SSD,MDO,0.1748
3,SSD,MeOH,0.1288
3,SSD,LSHFO,0.874
3,MSD,HFO,1.2788
3,MSD,MDO,0.1656
3,MSD,MeOH,0.1288
3,MSD,LSHFO,0.8556
3,HSD,HFO,1.2788
3,HSD,MDO,0.1656
3,HSD,LSHFO,0.828
3,Otto_SS,LNG,0.0184
3,Otto_MS,LNG,0.0184
3,LNG_Diesel,LNG,0.0092
3,LBSI,LNG,0.0184
3,Gas_Turbine,HFO,1.3064
3,Gas_Turbine,MDO,0.138
3,Gas_Turbine,LNG,0.0276
3,Gas_Turbine,LSHFO,0.598
3,Steam_Boiler,HFO,1.3064
3,Steam_Boiler,MDO,0.1288
3,Steam_Boiler,LNG,0.0276
3,Steam_Boiler,LSHFO,0.5244
3,Auxiliary_Engines,HFO,1.2788
3,Auxiliary_Engines,MDO,0.1656
3,Auxiliary_Engines,LNG,0.0184
3,Auxiliary_Engines,LSHFO,0.828
