EngineType,FuelType,N2OEF
SSD,HFO,0.031
SSD,MDO,0.03
SSD,MeOH,0.003
SSD,LSHFO,0.031
MSD,HFO,0.034
MSD,MDO,0.03
MSD,MeOH,0.003
MSD,LSHFO,0.034
HSD,HFO,0.03
HSD,MDO,0.034
HSD,LSHFO,0.03
Otto_MS,LNG,0.02
Otto_SS,LNG,0.02
LNG_Diesel,LNG,0.03
LBSI,LNG,0.02
Gas_Turbine,HFO,0.04
Gas_Turbine,MDO,0.049
Gas_Turbine,LNG,0.02
Gas_Turbine,LSHFO,0.04
Steam_Boiler,HFO,0.04
Steam_Boiler,MDO,0.049
Steam_Boiler,LNG,0.02
Steam_Boiler,LSHFO,0.04
Auxiliary_Engines,HFO,0.04
Auxiliary_Engines,MDO,0.036
Auxiliary_Engines,LNG,0.02
Auxiliary_Engines,LSHFO,0.04
