load_bin,PM2.5_LLA,PM10_LLA,BC_LLA,NOx_LLA,SOx_LLA,CO_LLA,NMVOC_LLA,CO2_LLA,N2O_LLA,CH4_LLA
2,7.29 ,7.29 ,1.00 ,4.63 ,1.00 ,9.70 ,21.18 ,1.00 ,4.63 ,21.18 
3,4.33 ,4.33 ,1.00 ,2.92 ,1.00 ,6.49 ,11.68 ,1.00 ,2.92 ,11.68 
4,3.09 ,3.09 ,1.00 ,2.21 ,1.00 ,4.86 ,7.71 ,1.00 ,2.21 ,7.71 
5,2.44 ,2.44 ,1.00 ,1.83 ,1.00 ,3.90 ,5.61 ,1.00 ,1.83 ,5.61 
6,2.04 ,2.04 ,1.00 ,1.60 ,1.00 ,3.26 ,4.35 ,1.00 ,1.60 ,4.35 
7,1.79 ,1.79 ,1.00 ,1.45 ,1.00 ,2.80 ,3.52 ,1.00 ,1.45 ,3.52 
8,1.61 ,1.61 ,1.00 ,1.35 ,1.00 ,2.45 ,2.95 ,1.00 ,1.35 ,2.95 
9,1.48 ,1.48 ,1.00 ,1.27 ,1.00 ,2.18 ,2.52 ,1.00 ,1.27 ,2.52 
10,1.38 ,1.38 ,1.00 ,1.22 ,1.00 ,1.97 ,2.18 ,1.00 ,1.22 ,2.18 
11,1.30 ,1.30 ,1.00 ,1.17 ,1.00 ,1.79 ,1.96 ,1.00 ,1.17 ,1.96 
12,1.24 ,1.24 ,1.00 ,1.14 ,1.00 ,1.64 ,1.76 ,1.00 ,1.14 ,1.76 
13,1.19 ,1.19 ,1.00 ,1.11 ,1.00 ,1.52 ,1.60 ,1.00 ,1.11 ,1.60 
14,1.15 ,1.15 ,1.00 ,1.08 ,1.00 ,1.41 ,1.47 ,1.00 ,1.08 ,1.47 
15,1.11 ,1.11 ,1.00 ,1.06 ,1.00 ,1.32 ,1.36 ,1.00 ,1.06 ,1.36 
16,1.08 ,1.08 ,1.00 ,1.05 ,1.00 ,1.24 ,1.26 ,1.00 ,1.05 ,1.26 
17,1.06 ,1.06 ,1.00 ,1.03 ,1.00 ,1.17 ,1.18 ,1.00 ,1.03 ,1.18 
18,1.04 ,1.04 ,1.00 ,1.02 ,1.00 ,1.11 ,1.11 ,1.00 ,1.02 ,1.11 
19,1.02 ,1.02 ,1.00 ,1.01 ,1.00 ,1.05 ,1.05 ,1.00 ,1.01 ,1.05 
20,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
