type	sizegroup	size	unit	boilerBerthKW	boilerAnchorKW	boilerManKW	boilerSeaKW	auxBerthKW	auxAnchorKW	auxManKW	auxSeaKW
container	1	0-999	TEU	250	250	240	0	370	450	790	410
container	2	"1,000-1,999"	TEU	340	340	310	0	820	910	1750	900
container	3	"2,000-2,999"	TEU	460	450	430	0	610	910	1900	920
container	4	"3,000-4,999"	TEU	480	480	430	0	1100	1350	2500	1400
container	5	"5,000-7,999"	TEU	590	580	550	0	1100	1400	2800	1450
container	6	"8,000-11,999"	TEU	620	620	540	0	1150	1600	2900	1800
container	7	"12,000-14,499"	TEU	630	630	630	0	1300	1800	3250	2050
container	8	"14,500-19,999"	TEU	630	630	630	0	1400	1950	3600	2300
container	9	"20,000-+"	TEU	700	700	700	0	1400	1950	3600	2300
